CODIGO;EMPRESA;ANO;ANO&COD;1.DEC_Apurada;1.1.DEC_Limite;1.2.DEC_V8;2.FEC_Apurada;2.1.FEC_Limite;2.2.FEC_V8;3.0.Fator_Q;4.0.Desc_Perdas_Nao_Tec;5.DGC;6.UC_Total;7.UC_AT;8.UC_MT;9.UC_BT;10.Mercado_Total;11.Mercado_AT;12.Mercado_MT;13.Mercado_BT;14.Peso_AT;15.Peso_MT;16.Peso_BT;17.Ind_Salarial;18.1.Custos_Operacionais;18.1.1.Custos_Operacionais_H;18.1.2.Custos_Operacionais_AJ;18.2.Pessoal;18.2.1.Pessoal_H;18.3.Materiais;18.3.1.Materiais_H;18.4.Serv_Terceiros;18.4.1.Serv_Terceiros_H;18.5.Seguros;18.5.1.Seguros_H;18.6.Tributos;18.6.1.Tributos_H;18.7.Outros;18.7.1.Outros_H;18.8.Estagiario;18.8.1.Estagiario_H;18.9.Comunicacao;18.9.1.Comunicacao_H;19.0.Cond_TOTAIS;19.1.Cond_Trab;19.1.1.Cond_Trab_H;19.2.Cond_Civeis;19.2.1.Cond_Civeis_H;19.3.Cond_Fiscais;19.3.1.Cond_Fiscais_H;19.4.Cond_Ambientais;19.4.1.Cond_Ambientais_H;19.5.Cond_Outras;19.5.1.Cond_Outras_H;20.Contrib_CCEE;20.1.Contrib_CCEE_H;21.Custos_de_Desativacao;21.1.Custos_de_Desativacao_H;27.Demanda_Total;28.Demanda_AT;29.Demanda_MT;30.Demanda_BT;34.PNT_Medidas;35.Meta_PNT;35.2.Meta_PNT_4CRTP;37.Rede;38.0.1.BT_DIST_SEM_RAMAL;38.0.2.BT_DIST_COM_RAMAL;38.0.3.BT_DIST_AER_MUX;38.1.BT_AEREA_DIST;38.2.BT_MUX_DIST;38.3.BT_SUBTERR_DIST;38.4.BT_RAMAL_RAMAL_DIST;39.0.1.MT_DIST;39.0.2.MT_DIST_AER_MUX;39.1.MT_AEREA_DIST;39.2.MT_MUX_DIST;39.3.MT_SUBTERR_DIST;40.0.1.AT_DIST;40.0.2.AT_DIST_AER_MUX;40.1.AT_AEREA_DIST;40.2.AT_MUX_DIST;40.3.AT_SUBTERR_DIST;43.Trafos_Distribuicao;45.Trafos_AT;45.1.Trafos_69;45.2.Trafos_88_138;45.3.Trafos_230;46.Subestacoes_MT;47.Subestacoes_AT;47.1.Subestacoes_69;47.2.Subestacoes_88_138;47.3.Subestacoes_230;48.MVA_Total;49.MVA_MT;50.MVA_AT;50.1.MVA_69;50.2.MVA_88_138;50.3.MVA_230;61.Compensacoes_Q;62.Compensacoes_Reais
D61;MUXFELDT;2001;2001D61;42.88;36.66;ND;39.43;20.66;ND;ND;ND;1.539093045;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;1390143.748;494850.78;1359133.981;1010048.688;366573.84;113041.0679;34924.06;200947.7386;72929.34;15965.16226;4932.44;43896.36324;13561.79;6244.728208;1929.31;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ND;ND
D62;RGE;2001;2001D62;20.07;24.68;ND;16.97;23.51;ND;ND;ND;0.767514789;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;226482022.9;80533906.45;221471242.7;114030724.4;41384817.39;21506518.36;6644443.05;81650748.97;29633253.27;1014853.153;313539.08;2093698.11;646848.44;6185479.888;1911005.22;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;47502;74;58;15;1;5;50;38;11;1;1311.355;34.23;1277.125;897;330.125;50;ND;ND
D63;SULGIPE;2001;2001D63;16.19;46.11;ND;17.94;38.07;ND;ND;ND;0.411177045;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.876782605;18453200.58;6467583.61;20448762.96;9211771.828;3343199.8;3505609.306;1083058.68;4988125.697;1810325;97103.02971;30000;142417.7769;44000;508172.9429;157000.13;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;3510;4;4;0;0;0;2;2;0;0;20;0;20;20;0;0;ND;ND
D64;UHENPAL;2001;2001D64;33.68;37.56;ND;42.96;58.89;ND;ND;ND;0.813097143;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;3795105.065;1331876.03;3719495.542;2155996.313;782469.06;696986.1267;215334;796714.0749;289148.97;35714.49433;11034;18935.09079;5850;90758.9651;28040;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1237.2;0;0;0;0;1;0;0;0;0;17.5;17.5;0;0;0;0;ND;ND
D01;AES SUL;2002;2002D01;19.75;21.58;ND;16.38;18.41;ND;ND;ND;0.902466549;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;257666789.3;97335117.89;252700244.6;66313631.69;25910874.43;18457977.99;6243464.7;127640352.4;49873201.9;971061.9002;328464.51;1739438.653;588370.18;42544326.74;14390742.17;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;35913;63;57;6;0;0;46;40;6;0;1107.375;0;1107.375;885.875;221.5;0;ND;ND
D01f;RGE SUL;2002;2002D01f;ND;21.92;ND;18.49;19.835;ND;ND;ND;0.466095286;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;492394004.7;187472592.8;482186822.1;185903822.3;72638618.51;38738717.93;13103483.93;212708063.6;83111899.99;2484216.792;840293.55;4929103.752;1667283.67;47630080.44;16111013.14;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;84659;141;117;23;1;6;96;78;17;1;2546.83;36.83;2510;1858.375;601.625;50;ND;ND
D02-0;CEAM;2002;2002D02-0;57.83;0;ND;55.32;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;0;0;0;0;ND;0;ND;0;ND;0;ND;0;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D02;AMAZONAS;2002;2002D02;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;195318317.1;74672456.2;190344405.5;74869503.65;29253929.52;11546748.27;3905721.16;89108690.28;34817638.93;424092.084;143450.38;6568210.26;2221716.21;12801072.57;4330000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;8765;52;35;0;17;1;14;11;0;3;1787.8;20;1767.8;877.8;0;890;ND;ND
D03;Enel RJ;2002;2002D03;24.31;22.27;ND;19.95;25.56;ND;ND;ND;0.936059743;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;534814932.8;207634533.1;524654461.6;215809733;84323822.26;6010421.261;2033042.46;293568366.8;114706628.1;5125346.087;1733663.21;2490985.928;842583.23;11810079.69;3994793.78;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;73965.1;163;88.5;74.5;0;29.6;71.7;45;26.7;0;3687.55;168.8;3518.75;1132.98;2385.77;0;ND;ND
D04;BANDEIRANTE;2002;2002D04;12.4;13.89;ND;8.47;10.57;ND;ND;ND;0.847026543;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;453670952.9;173161020.9;446181110;224784462.9;87830538.66;22263747.8;7530777.4;150706190.4;58885768.67;1339032.9;452931.77;25167572.07;8513004.4;29409946.85;9948000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;45207;135;0;135;0;0;56;0;56;0;3274.93;0;3274.93;0;3274.93;0;ND;ND
D05;BOA VISTA ENERGIA;2002;2002D05;12.82;45.67;ND;28.61;50.6;ND;ND;ND;0.423062229;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;46933773.53;18161250.29;45612614.31;14138172.77;5524240.04;1877787.354;635167.03;29417346.15;11494305.81;125800.6338;42552.43;821825.8432;277984.98;552840.7782;187000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1484;4;4;0;0;0;2;2;0;0;106.4;0;106.4;106.4;0;0;ND;ND
D06;CAIUÁ;2002;2002D06;10.22;10.45;ND;11.16;26.36;ND;ND;ND;0.700679586;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;79602218.64;30225202.81;78348107.31;26232156.84;10249749.63;5978777.453;2022338.85;36640601.41;14316664.58;633756.0918;214369.84;9003914.653;3045600.3;1113012.196;376479.61;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;6196;29;4;25;0;11;13;3;10;0;499.95;49.15;450.8;33.5;417.3;0;ND;ND
D06f;ESS (FUSÃO);2002;2002D06f;8.632;13.476;ND;10.686;23.194;ND;ND;ND;0.550634378;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;259424791;99296757.29;255036448.8;106163563.2;41481527.76;17737075.15;5999617.22;113838579.3;44480404.07;2106198.547;712427.78;16647919.45;5631207.14;2931455.433;991573.32;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;17012;92;17;75;0;49;36;9;27;0;1499.48;213.77;1285.71;130.38;1155.33;0;ND;ND
D07;CEA;2002;2002D07;24.37;47.19;ND;31.81;40.61;ND;ND;ND;0.649863788;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;0;0;0;0;ND;0;ND;0;ND;0;ND;0;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D08;CEAL;2002;2002D08;29.9;28.02;ND;21.35;29.33;ND;ND;ND;0.89750928;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.876782605;187697678;72623283.8;212157464.4;116310510.8;45446267.41;9815561.485;3320142.2;57738901.6;22560450.86;244708.3778;82773.32;1128461.582;381705.41;2459534.225;831944.6;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;13674;62;62;0;0;0;33;33;0;0;582.5;0;582.5;582.5;0;0;ND;ND
D09;CEB;2002;2002D09;12.17;19.75;ND;15.44;25.63;ND;ND;ND;0.609310786;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.96421995;436220397.7;169231947.8;451549555.9;249754295.1;97587057.34;16459036.4;5567316.9;163344068.1;63823795.03;1742759.394;589493.43;1446506.595;489285.06;3473732.163;1175000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;16983;29;8;21;0;16;12;3;9;0;1622.25;731.25;891;87.5;803.5;0;ND;ND
D10;CEEE;2002;2002D10;22.04;23.74;ND;20.41;24.73;ND;ND;ND;0.876852143;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;490969315.2;189578761.2;479499305.3;267395196.6;104479926.4;23229752.98;7857531.46;180532738.1;70539962.71;1724320.025;583256.26;11234507.9;3800104.95;6852799.655;2317979.4;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;29105.95238;70.13333333;61.73333333;8.4;0;0;51.40952381;41.1047619;10.3047619;0;1147.921524;0;1147.921524;965.0786667;182.8428571;0;ND;ND
D11;CELESC;2002;2002D11;20.19;29.61;ND;16.71;21.08;ND;ND;ND;0.737279366;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;1922821218;745920254;1876212910;1618634650;632452756.6;83560833.08;28264694.65;201517517;78739392.56;1196401.9;404686.42;8290857.394;2804406.61;9620958.397;3254317.14;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;38910;178;78;100;0;18;97;46;51;0;3978.18;153.125;3825.055;1009.954;2815.101;0;ND;ND
D12;CELG;2002;2002D12;23.49;31.35;ND;27.44;34.54;ND;ND;ND;0.771861762;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.921207296;544451995;210028537.6;586609089.2;277429751.5;108400750.6;27943002.56;9451801.83;215451194.7;84183729.8;1575730.023;532995.26;16269660.77;5503260.04;5782655.413;1956000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;145207;199;94;72;33;182;105;61;34;10;5080.09;641.49;4438.6;920.26;1720.32;1798.02;ND;ND
D13;CELPA;2002;2002D13;32.84;40.13;ND;38.37;40.62;ND;ND;ND;0.88147448;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;438074764.6;167801939.3;426733430.8;177532611.3;69367716.44;31472208.37;10645565.95;196364547.9;76725961.35;2746821.661;929120.41;10890152.19;3683625.63;19068423.15;6449949.55;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;17119;86;61;21;4;11;46;28;16;2;1612.68;106.4;1506.28;872.1;467.58;166.6;ND;ND
D14;CELPE;2002;2002D14;16.15;32.08;ND;13.61;35.87;ND;ND;ND;0.441427316;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.876782605;517996779;197100422.5;576606298.3;192242402.9;75115306.36;52001428.72;17589634.4;224807536.4;87839554.23;959489.701;324550.18;36382965.05;12306643.67;11602956.21;3924733.66;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;58882;212;205;7;0;0;115;112;3;0;2401.48;0;2401.48;2292.43;109.05;0;ND;ND
D15;CELTINS;2002;2002D15;45.66;51.68;ND;34.73;44.92;ND;ND;ND;0.828333101;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;143730440;54465445.87;140350209.6;44266538.37;17296364.08;17681754.32;5980904.79;67171725.6;26246159.39;1504428.522;508877.32;7134945.523;2413416.06;5971047.674;2019724.23;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;8139;5;0;0;5;53;30;13;16;1;1043;861;182;0;0;182;ND;ND
D16;CEMAR;2002;2002D16;66.78;39.89;ND;40.35;33.53;ND;ND;ND;1.438751863;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.876782605;261884965.6;100641509.9;294175313.5;115239419.1;45027757.38;25843717.54;8741712.57;114530211.3;44750647.02;4778579.96;1616368.56;1294382.256;437828.56;198655.381;67195.76;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;21907;69;65;4;0;16;52;49;3;0;956;37;919;759;160;0;ND;ND
D17;EMT;2002;2002D17;22.61;48.11;ND;26.26;56.13;ND;ND;ND;0.468903586;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.921207296;339859583.2;129471160.1;363512653.7;137743202.2;53820711.14;30436873.94;10295361.07;138797388.4;54232615.69;3037316.873;1027381.26;14591775.05;4935710.32;15253026.75;5159380.63;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;22438;53;7;45;1;49;40;6;33;1;1395.58;324.88;1070.7;72.5;965;33.2;ND;ND
D18;CEMIG;2002;2002D18;13.01;13.07;ND;7.34;10.36;ND;ND;ND;0.851951771;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;1924447980;739699775.3;1890715222;1088589151;425346887;182567246.4;61753901.7;602545854.4;235434096.6;1182845.358;400100.88;12229621.57;4136705.04;37333261.15;12628084.09;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;537659;537;171;364;2;32;348;110;237;1;8829.58;100.25;8729.33;1082;7047.33;600;ND;ND
D19;CEPISA ;2002;2002D19;45.3;44.7;ND;37.78;35.81;ND;ND;ND;1.034217693;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.876782605;187345385.1;72581196.86;212011575.1;118767981.8;46406480.61;8855446.453;2995380.5;56750144.95;22174111.75;747761.1137;252932.37;350597.6971;118590.69;1873453.053;633700.94;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;6436;53;51;2;0;25;36;35;1;0;572.375;43;529.375;409.375;120;0;ND;ND
D20;CERON;2002;2002D20;69.6;67.97;ND;75.86;71.17;ND;ND;ND;1.04493986;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;148997162.7;57170154.27;145083313.9;68716308.19;26849677.62;11937304.29;4037827.87;60314099.95;23566663.9;142668.8111;48258.14;5356832.878;1811964.29;2529948.55;855762.45;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ND;ND
D21;CERR;2002;2002D21;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.031281621;0;0;0;0;ND;0;ND;0;ND;0;ND;0;ND;0;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
D22;CFLO;2002;2002D22;4.71;9.14;ND;7.18;10.13;ND;ND;ND;0.612051536;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;18619820.37;7169105.77;18194873.87;9155605.052;3577390.15;1230284.329;416147.25;7439446.91;2906831.82;73775.1828;24954.67;643783.3228;217761.58;76925.57701;26020.3;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ND;ND
D23;CHESP;2002;2002D23;16.54;30;ND;50.59;67.29;ND;ND;ND;0.651576906;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0.921207296;7545330.083;2867958.25;8059911.302;4562347.07;1782656.13;821559.7701;277894.98;1453894.865;568083.61;97936.71946;33127.38;382905.8008;129519;226685.8571;76677.15;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;3243;0;0;0;0;7;0;0;0;0;25.85;25.85;0;0;0;0;ND;ND
D24;CJE;2002;2002D24;12.37;13.37;ND;9.48;16;ND;ND;ND;0.758852842;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;15434883.87;5934529.46;15163639.07;8188571.767;3199539.06;1250437.8;422964.22;5409829.076;2113794.68;154393.4997;52224.05;183316.8284;62007.45;248334.895;84000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;800.4285714;5;0;5;0;3;2;0;2;0;175.55;46.8;128.75;0;128.75;0;ND;ND
D24f;NOVA SC (FUSÃO);2002;2002D24f;ND;14.928;ND;11.868;22.356;ND;ND;ND;0.265432099;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;132785291.6;51028125.22;130461764.6;76865470.57;30033818.16;11344284.23;3837237.11;39620639.02;15481061.38;634075.5274;214477.89;924544.3398;312729.81;3396277.898;1148800.87;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;9028.247619;43;21;22;0;34.63809524;28;15;13;0;1132.005238;299.1252381;832.88;188.13;644.75;0;ND;ND
D25;MOCOCA;2002;2002D25;7.4;16.95;ND;9.48;20.18;ND;ND;ND;0.453175111;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;15676126.73;6040520.52;15395611.58;9565276.101;3737461.84;1195535.655;404393.41;4497878.294;1757466.1;113597.6344;38424.73;141238.816;47774.44;162600.2289;55000;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;785.0666667;0;0;0;0;3.638095238;0;0;0;0;49.0952381;49.0952381;0;0;0;0;ND;ND
D26;CPFL STA CRUZ;2002;2002D26;11.29;15.5;ND;11.4;41.92;ND;ND;ND;0.500166831;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;63550385.2;24437614.34;62432349.18;39347767.92;15374441.84;4686601.15;1585256.46;16703084;6526433.57;63275.613;21403.16;237332.5949;80278.44;2512323.927;849800.87;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;4826;34;21;13;0;5;24;15;9;0;565.86;31.73;534.13;188.13;346;0;ND;ND
D27;CNEE;2002;2002D27;5.27;12.24;ND;8.23;18.15;ND;ND;ND;0.441999541;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.020352789;34621535.59;13291837.56;34020614.07;14032900.25;5483106.67;2472891.834;836462.85;16093287.59;6288166.45;229212.842;77531.91;1378621.591;466322.76;414621.4781;140246.92;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1607;23;10;13;0;8;8;5;3;0;242.06;29.98;212.08;64.38;147.7;0;ND;ND
D28;COCEL;2002;2002D28;14.68;19;ND;13.04;11.41;ND;ND;ND;0.957744361;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;1.026279761;12406655.55;4767811.19;12127932.02;8011002.293;3130156.94;1381075.14;467152.68;2873735.746;1122861.23;0;0;31316.65627;10592.95;109525.7108;37047.39;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;2076;1;0;1;0;1;1;0;1;0;43.67;2;41.67;0;41.67;0;ND;ND
